key,value,eventTime,arrivalTime,processedTime
7,38,5,18,10757
5,2,22,24,10759
2,625,9,24,10772
2,81,5,37,10774
9,369,23,53,10775
4,75,19,58,10777
9,203,16,63,10779
5,320,64,67,10780
7,176,7,71,10781
4,138,21,74,10783
2,138,17,82,10785
2,189,43,91,10787
7,745,11,104,10789
9,198,23,118,10790
3,112,71,119,10792
7,884,53,119,10793
6,486,64,121,10795
5,153,95,138,10797
10,922,83,141,10798
2,198,91,148,10800
5,56,163,168,10802
8,479,142,172,10803
1,282,17,181,10807
4,823,3,183,10809
10,354,22,184,10810
5,352,57,194,10812
10,22,91,199,10813
9,76,68,212,10815
1,844,9,215,10818
1,431,176,230,10822
4,397,160,236,10824
2,153,229,243,10826
4,251,191,250,10828
1,510,1,251,10831
1,15,158,257,10835
6,42,245,267,10836
4,728,177,276,10838
3,20,213,278,10840
1,354,171,287,10844
8,32,91,294,10845
2,147,196,296,10847
4,100,304,305,10849
1,146,307,308,10853
2,678,237,310,10855
7,949,26,313,10856
4,98,318,323,10858
10,703,56,344,10860
1,734,97,348,10863
2,109,182,358,10865
1,509,72,363,10869
6,11,61,373,10871
6,114,369,378,10872
3,78,372,384,10874
2,37,383,400,10876
7,28,268,409,10878
1,847,100,422,10881
4,607,234,424,10883
1,83,269,425,10887
5,128,442,453,10888
9,386,154,460,10890
6,625,426,463,10891
8,256,487,489,10893
1,795,76,495,10896
3,493,181,498,10898
4,257,302,502,10900
3,322,401,510,10902
4,387,148,511,10904
2,87,379,513,10906
7,39,457,530,10908
8,599,191,534,10909
3,64,495,538,10911
10,137,348,541,10912
1,137,1,556,10916
3,359,16,571,10918
3,339,416,578,10920
1,283,402,583,10924
1,277,182,589,10927
1,432,374,591,10931
6,774,573,602,10932
2,333,499,630,10934
4,740,137,630,10936
10,992,369,647,10938
6,577,619,649,10939
8,169,541,654,10941
8,741,387,662,10942
10,129,514,662,10943
4,150,128,663,10945
2,112,6,664,10947
4,503,302,670,10949
2,442,59,681,10951
8,126,649,697,10952
1,408,245,707,10956
2,118,389,721,10958
7,126,75,732,10960
7,558,388,738,10961
3,130,742,752,10963
7,533,610,769,10964
6,938,114,780,10966
4,12,415,795,10968
7,817,74,796,10969
2,205,603,796,10971
6,160,117,804,10973
6,243,107,818,10974
