key,value,eventTime,arrivalTime,processedTime
7,38,5,18,6554
5,2,22,24,6555
2,625,9,24,6557
2,81,5,37,6558
9,369,23,53,6559
4,75,19,58,6560
9,203,16,63,6561
5,320,64,67,6563
7,176,7,71,6564
4,138,21,74,6565
2,138,17,82,6566
2,189,43,91,6568
7,745,11,104,6569
9,198,23,118,6570
3,112,71,119,6571
7,884,53,119,6572
6,486,64,121,6574
5,153,95,138,6575
10,922,83,141,6576
2,198,91,148,6577
5,56,163,168,6578
8,479,142,172,6579
1,282,17,181,6582
4,823,3,183,6583
10,354,22,184,6584
5,352,57,194,6585
10,22,91,199,6586
9,76,68,212,6587
1,844,9,215,6590
1,431,176,230,6593
4,397,160,236,6594
2,153,229,243,6595
4,251,191,250,6597
1,510,1,251,6599
1,15,158,257,6602
6,42,245,267,6603
4,728,177,276,6604
3,20,213,278,6606
1,354,171,287,6609
8,32,91,294,6610
2,147,196,296,6611
4,100,304,305,6612
1,146,307,308,6615
2,678,237,310,6617
7,949,26,313,6618
4,98,318,323,6619
10,703,56,344,6620
1,734,97,348,6623
2,109,182,358,6624
1,509,72,363,6627
6,11,61,373,6628
6,114,369,378,6629
3,78,372,384,6630
2,37,383,400,6632
7,28,268,409,6633
1,847,100,422,6636
4,607,234,424,6637
1,83,269,425,6640
5,128,442,453,6641
9,386,154,460,6642
6,625,426,463,6643
8,256,487,489,6644
1,795,76,495,6647
3,493,181,498,6648
4,257,302,502,6649
3,322,401,510,6651
4,387,148,511,6652
2,87,379,513,6654
7,39,457,530,6655
8,599,191,534,6656
3,64,495,538,6657
10,137,348,541,6658
1,137,1,556,6661
3,359,16,571,6663
3,339,416,578,6664
1,283,402,583,6667
1,277,182,589,6669
1,432,374,591,6672
6,774,573,602,6673
2,333,499,630,6675
4,740,137,630,6676
10,992,369,647,6677
6,577,619,649,6678
8,169,541,654,6679
8,741,387,662,6680
10,129,514,662,6681
4,150,128,663,6682
2,112,6,664,6684
4,503,302,670,6685
2,442,59,681,6687
8,126,649,697,6688
1,408,245,707,6690
2,118,389,721,6692
7,126,75,732,6693
7,558,388,738,6694
3,130,742,752,6695
7,533,610,769,6696
6,938,114,780,6697
4,12,415,795,6699
7,817,74,796,6700
2,205,603,796,6701
6,160,117,804,6702
6,243,107,818,6704
9,51,235,828,6704
3,288,190,837,6706
2,339,199,845,6707
3,672,648,848,6709
7,198,25,853,6710
3,37,135,855,6712
1,33,550,874,6714
8,531,447,889,6715
8,847,689,894,6716
6,757,83,900,6717
7,933,673,914,6718
7,840,760,920,6720
2,282,118,923,6721
3,429,141,924,6723
7,57,718,926,6724
10,211,649,930,6725
5,233,84,937,6726
1,54,799,942,6728
1,364,147,946,6731
4,528,615,949,6732
6,373,694,954,6734
7,459,373,958,6735
2,228,92,960,6736
4,319,806,969,6737
4,183,825,983,6739
5,360,336,989,6740
1,107,42,1002,6743
5,62,201,1002,6744
4,319,80,1005,6745
3,597,528,1009,6747
4,840,796,1016,6748
7,649,53,1025,6749
10,276,194,1033,6750
3,938,931,1037,6751
1,196,1012,1044,6754
10,382,895,1059,6755
6,300,336,1063,6756
7,12,53,1064,6757
5,289,281,1077,6759
1,141,261,1112,6762
3,107,409,1114,6765
5,206,1062,1114,6768
6,3,1041,1119,6770
6,971,170,1124,6771
1,894,989,1136,6774
3,118,605,1150,6777
2,416,1071,1159,6782
10,218,1159,1160,6783
