key,value,eventTime,arrivalTime,processedTime
10,0,500,534,10501
10,0,500,571,10501
9,0,500,745,10501
3,0,500,809,10501
2,0,500,859,10501
2,0,500,903,10501
1,0,1000,1078,10501
4,0,1000,1084,10501
8,0,500,1102,10501
3,0,1000,1105,10501
8,0,500,1149,10501
8,0,1000,1171,10501
4,0,1000,1220,10501
10,0,500,1253,10501
5,0,1000,1301,10501
2,0,1000,1317,10501
5,0,500,1352,10501
6,0,1000,1354,10501
9,0,1000,1384,10501
9,0,500,1387,10501
3,0,1000,1470,10501
1,0,1000,1502,10501
7,0,1000,1519,10501
10,0,1500,1561,10501
6,0,1500,1587,10501
1,0,500,1647,10501
3,0,500,1686,10501
6,0,500,1689,10501
3,0,500,1731,10501
1,0,1000,1761,10501
3,0,1000,1771,10501
2,0,500,1795,10501
9,0,1000,1822,10501
6,0,1500,1846,10501
6,0,500,1860,10501
7,0,1500,1895,10501
7,0,1500,1911,10501
10,0,500,1922,10501
6,0,1500,1959,10501
3,0,1000,1961,10501
8,0,1500,1984,10501
2,0,1000,2000,10501
3,0,1500,2010,10501
9,0,500,2027,10501
4,0,2000,2127,10501
6,0,500,2140,10501
6,0,1000,2146,10501
9,0,500,2184,10501
5,0,2000,2194,10501
2,0,1000,2201,10501
6,0,2000,2208,10501
2,0,2000,2228,10501
7,0,1000,2262,10501
2,0,500,2274,10501
1,0,500,2287,10501
5,0,500,2380,10501
2,0,2000,2472,10501
1,0,500,2484,10501
6,0,500,2484,10501
4,0,1000,2509,10501
6,0,1500,2540,10501
8,0,2500,2561,10501
6,0,2000,2567,10501
4,0,2000,2571,10501
1,0,500,2587,10501
5,0,2500,2600,10501
3,0,1500,2634,10501
8,0,2000,2641,10501
2,0,2000,2649,10501
2,0,2500,2686,10501
9,0,2500,2687,10501
10,0,0,2731,10501
5,0,1000,2789,10501
10,0,2000,2809,10501
10,0,2000,2816,10501
2,0,1500,2825,10501
9,0,1500,2831,10501
8,0,2000,2897,10501
10,0,2500,2902,10501
2,0,500,2919,10501
7,0,2000,2937,10501
8,0,2500,2955,10501
5,0,1000,2957,10501
7,0,500,2973,10501
9,0,3000,3013,10501
10,0,2000,3089,10501
7,0,1000,3098,10501
1,0,2500,3103,10501
3,0,500,3168,10501
6,0,3000,3173,10501
3,0,3000,3180,10501
10,0,2000,3211,10501
8,0,1500,3216,10501
9,0,1000,3218,10501
6,0,1500,3218,10501
8,0,1500,3224,10501
1,0,2000,3228,10501
4,0,2500,3282,10501
9,0,2500,3283,10501
6,0,1000,3285,10501
8,0,2500,3293,10501
4,0,2500,3304,10501
1,0,500,3313,10501
10,0,1000,3322,10501
1,0,3000,3323,10501
7,0,500,3335,10501
6,0,500,3339,10501
5,0,1000,3340,10501
9,0,3000,3354,10501
9,0,2000,3389,10501
4,0,1000,3393,10501
9,0,3000,3426,10501
6,0,500,3427,10501
9,0,2000,3440,10501
4,0,3000,3454,10501
10,0,1500,3467,10501
10,0,500,3483,10501
5,0,500,3491,10501
7,0,2500,3527,10501
10,0,3500,3545,10501
1,0,2000,3591,10501
6,0,2000,3595,10501
6,0,1500,3606,10501
1,0,3500,3611,10501
8,0,2500,3632,10501
3,0,2500,3636,10501
9,0,3500,3693,10501
5,0,2000,3707,10501
3,0,3500,3779,10501
2,0,500,3780,10501
3,0,3500,3792,10501
6,0,500,3795,10501
9,0,2000,3797,10501
9,0,2500,3802,10501
3,0,1500,3805,10501
5,0,3000,3814,10501
6,0,1500,3843,10501
8,0,1500,3844,10501
10,0,2500,3886,10501
2,0,1000,3896,10501
7,0,2500,3898,10501
6,0,3000,3911,10501
3,0,3000,3914,10501
2,0,2500,3925,10501
7,0,3500,3948,10501
8,0,500,3959,10501
6,0,1000,3959,10501
2,0,2500,3984,10501
3,0,3000,4000,10501
1,0,2500,4009,10501
4,0,1500,4020,10501
6,0,4000,4029,10501
10,0,1500,4037,10501
8,0,3000,4040,10501
10,0,1000,4055,10501
3,0,2000,4063,10501
2,0,1500,4071,10501
4,0,2000,4087,10501
7,0,2000,4089,10501
7,0,1000,4114,10501
3,0,3000,4123,10501
5,0,4000,4138,10501
9,0,3500,4155,10501
7,0,500,4166,10501
2,0,2500,4192,10501
7,0,3000,4197,10501
3,0,500,4202,10501
9,0,500,4231,10501
3,0,2000,4232,10501
3,0,4000,4237,10501
2,0,1000,4240,10501
6,0,3500,4266,10501
4,0,1500,4281,10501
6,0,1500,4281,10501
8,0,2000,4289,10501
5,0,2500,4299,10501
3,0,4000,4301,10501
7,0,2500,4305,10501
10,0,4000,4319,10501
4,0,2000,4325,10501
2,0,1500,4333,10501
6,0,1000,4357,10501
5,0,3000,4367,10501
10,0,2500,4377,10501
10,0,2500,4386,10501
9,0,4000,4419,10501
6,0,500,4429,10501
1,0,3000,4443,10501
10,0,1000,4475,10501
7,0,1500,4481,10501
3,0,500,4487,10501
5,0,2500,4489,10501
9,0,3500,4493,10501
6,0,1000,4497,10501
5,0,4000,4498,10501
10,0,2000,4515,10501
9,0,2500,4545,10501
1,0,4500,4553,10501
8,0,2000,4566,10501
3,0,500,4588,10501
2,0,3000,4599,10501
2,0,2500,4615,10501
8,0,4000,4623,10501
2,0,1500,4635,10501
3,0,2000,4643,10501
4,0,4500,4648,10501
3,0,3500,4655,10501
9,0,2000,4660,10501
4,0,3000,4666,10501
3,0,4500,4700,10501
8,0,4000,4716,10501
10,0,3000,4744,10501
2,0,3500,4754,10501
4,0,3500,4767,10501
3,0,2000,4778,10501
4,0,1000,4794,10501
8,0,4500,4806,10501
2,0,500,4813,10501
3,0,500,4835,10501
5,0,500,4854,10501
5,0,3000,4879,10501
9,0,1500,4898,10501
8,0,1000,4913,10501
9,0,2500,4919,10501
8,0,4000,4940,10501
5,0,3500,4962,10501
9,0,2000,4973,10501
10,0,2500,4978,10501
3,0,2500,5016,10501
7,0,4500,5030,10501
8,0,3500,5040,10501
6,0,5000,5056,10501
9,0,1000,5069,10501
1,0,4000,5081,10501
10,0,5000,5128,10501
6,0,5000,5141,10501
5,0,3000,5164,10501
2,0,1000,5180,10501
3,0,1500,5193,10501
1,0,1000,5195,10501
4,0,2000,5201,10501
4,0,4500,5208,10501
7,0,2000,5215,10501
8,0,4000,5226,10501
7,0,3500,5231,10501
1,0,1500,5235,10501
8,0,5000,5244,10501
5,0,4500,5248,10501
5,0,1000,5260,10501
6,0,3500,5260,10501
9,0,2000,5303,10501
2,0,4000,5303,10501
5,0,1000,5316,10501
8,0,1500,5322,10501
4,0,500,5345,10501
3,0,500,5354,10501
2,0,2500,5376,10501
5,0,3500,5385,10501
3,0,2000,5396,10501
5,0,2000,5403,10501
9,0,5000,5408,10501
6,0,1000,5409,10501
2,0,3500,5411,10501
9,0,2000,5425,10501
8,0,2000,5428,10501
5,0,3000,5436,10501
5,0,4500,5440,10501
2,0,3500,5441,10501
1,0,4500,5444,10501
7,0,2000,5447,10501
10,0,1500,5471,10501
3,0,3500,5475,10501
2,0,3500,5482,10501
4,0,2500,5486,10501
5,0,1500,5493,10501
5,0,3000,5495,10501
3,0,2000,5521,10501
8,0,2500,5538,10501
9,0,1000,5543,10501
9,0,5500,5550,10501
8,0,1000,5555,10501
7,0,2500,5556,10501
2,0,3500,5562,10501
5,0,1500,5569,10501
6,0,5500,5580,10501
8,0,5000,5599,10501
2,0,1000,5614,10501
9,0,4000,5618,10501
2,0,5500,5628,10501
10,0,1500,5633,10501
10,0,4000,5652,10501
9,0,3500,5690,10501
3,0,1500,5693,10501
6,0,4500,5699,10501
5,0,2500,5721,10501
7,0,3500,5736,10501
5,0,2000,5738,10501
7,0,4000,5743,10501
10,0,1500,5746,10501
1,0,1500,5760,10501
6,0,4000,5766,10501
7,0,4500,5767,10501
1,0,4500,5768,10501
5,0,2000,5797,10501
9,0,3000,5803,10501
3,0,4500,5808,10501
5,0,4000,5811,10501
1,0,5500,5813,10501
1,0,1500,5821,10501
7,0,3500,5831,10501
10,0,2500,5843,10501
3,0,5500,5864,10501
2,0,5500,5879,10501
6,0,3000,5881,10501
9,0,1000,5884,10501
7,0,2500,5899,10501
1,0,1000,5900,10501
5,0,1500,5901,10501
1,0,4500,5901,10501
6,0,4000,5924,10501
10,0,3000,5932,10501
4,0,5500,5942,10501
7,0,5500,5944,10501
3,0,4500,5945,10501
2,0,4000,5960,10501
9,0,2000,5967,10501
4,0,3500,5989,10501
9,0,1500,5997,10501
4,0,1500,6012,10501
2,0,4000,6018,10501
6,0,2000,6034,10501
3,0,5000,6046,10501
10,0,5500,6068,10501
8,0,5500,6076,10501
4,0,1500,6081,10501
10,0,1500,6082,10501
5,0,4500,6090,10501
2,0,3000,6092,10501
7,0,4500,6096,10501
1,0,6000,6107,10501
6,0,4000,6117,10501
2,0,3500,6122,10501
1,0,1500,6127,10501
6,0,2000,6131,10501
10,0,5000,6161,10501
7,0,1500,6180,10501
9,0,5000,6196,10501
5,0,4000,6197,10501
6,0,4000,6216,10501
8,0,5500,6221,10501
3,0,3000,6233,10501
6,0,3000,6251,10501
5,0,2500,6254,10501
8,0,5000,6275,10501
10,0,2500,6275,10501
5,0,6000,6278,10501
5,0,5000,6295,10501
9,0,1500,6304,10501
4,0,4000,6304,10501
2,0,1500,6308,10501
10,0,3500,6320,10501
10,0,3000,6338,10501
4,0,5500,6339,10501
10,0,5000,6340,10501
10,0,3500,6358,10501
10,0,5000,6406,10501
9,0,3000,6408,10501
6,0,2000,6410,10501
4,0,3500,6410,10501
5,0,5000,6412,10501
4,0,5000,6424,10501
2,0,4500,6431,10501
10,0,2500,6437,10501
2,0,4000,6451,10501
7,0,1500,6457,10501
4,0,3500,6467,10501
2,0,3000,6471,10501
4,0,6000,6474,10501
8,0,4500,6477,10501
2,0,3500,6485,10501
9,0,3500,6494,10501
1,0,2500,6507,10501
1,0,4000,6508,10501
5,0,4500,6562,10501
5,0,4500,6583,10501
8,0,4000,6602,10501
1,0,5500,6648,10501
5,0,6000,6663,10501
8,0,3500,6664,10501
1,0,3000,6668,10501
8,0,6000,6690,10501
10,0,3000,6700,10501
1,0,4500,6705,10501
10,0,3500,6722,10501
2,0,5000,6733,10501
7,0,6500,6752,10501
8,0,4500,6789,10501
4,0,6500,6791,10501
10,0,2500,6806,10501
7,0,3000,6812,10501
2,0,6500,6818,10501
4,0,6000,6820,10501
9,0,3000,6850,10501
8,0,6000,6850,10501
5,0,5000,6888,10501
8,0,3000,6889,10501
9,0,2000,6892,10501
7,0,5000,6905,10501
3,0,6000,6914,10501
10,0,3000,6924,10501
10,0,2500,6925,10501
6,0,2500,6938,10501
3,0,4500,6960,10501
8,0,4000,6974,10501
5,0,3000,6994,10501
9,0,6500,6994,10501
8,0,4500,7000,10501
6,0,4000,7009,10501
9,0,6500,7030,10501
3,0,4000,7032,10501
6,0,2500,7070,10501
9,0,5000,7080,10501
8,0,4500,7081,10501
5,0,5000,7086,10501
1,0,3500,7090,10501
6,0,2500,7097,10501
5,0,6500,7099,10501
1,0,4000,7115,10501
8,0,7000,7118,10501
3,0,7000,7121,10501
5,0,7000,7122,10501
10,0,6500,7145,10501
6,0,5500,7149,10501
2,0,4500,7154,10501
6,0,7000,7161,10501
10,0,3000,7162,10501
1,0,6000,7169,10501
5,0,3000,7185,10501
6,0,5500,7185,10501
3,0,6000,7198,10501
7,0,6000,7200,10501
9,0,6000,7215,10501
6,0,6500,7218,10501
8,0,2500,7237,10501
5,0,5500,7244,10501
5,0,7000,7248,10501
6,0,4000,7265,10501
5,0,6500,7270,10501
8,0,2500,7293,10501
8,0,6500,7298,10501
6,0,6500,7303,10501
5,0,4500,7319,10501
4,0,6000,7323,10501
3,0,5500,7344,10501
6,0,6500,7350,10501
7,0,6500,7351,10501
7,0,3500,7353,10501
8,0,4000,7360,10501
3,0,4000,7362,10501
5,0,4500,7369,10501
9,0,4500,7377,10501
1,0,2500,7380,10501
8,0,7000,7381,10501
2,0,3000,7395,10501
4,0,4000,7395,10501
1,0,7000,7397,10501
2,0,5000,7405,10501
8,0,6500,7415,10501
2,0,6000,7417,10501
10,0,4000,7427,10501
10,0,6000,7436,10501
10,0,3000,7451,10501
4,0,3000,7459,10501
3,0,4500,7464,10501
4,0,5500,7469,10501
4,0,5500,7504,10501
2,0,3500,7507,10501
8,0,6500,7521,10501
5,0,5000,7522,10501
7,0,7000,7532,10501
4,0,4000,7545,10501
4,0,7000,7559,10501
7,0,5500,7561,10501
3,0,7000,7568,10501
4,0,3000,7600,10501
5,0,6500,7601,10501
4,0,7500,7604,10501
8,0,7000,7610,10501
1,0,6000,7614,10501
4,0,5000,7617,10501
3,0,3500,7619,10501
7,0,5000,7619,10501
9,0,7000,7621,10501
6,0,3000,7646,10501
9,0,4500,7654,10501
6,0,3500,7669,10501
10,0,4000,7696,10501
6,0,6000,7710,10501
6,0,6500,7713,10501
2,0,3500,7718,10501
2,0,7000,7744,10501
8,0,3000,7752,10501
5,0,3000,7753,10501
9,0,3500,7761,10501
6,0,6000,7761,10501
10,0,5500,7767,10501
10,0,6000,7772,10501
7,0,7000,7774,10501
