key,value,eventTime,arrivalTime,processedTime
10,0,500,534,10502
10,0,500,571,10502
9,0,500,745,10502
3,0,500,809,10502
2,0,500,859,10502
2,0,500,903,10502
1,0,1000,1078,10502
4,0,1000,1084,10502
8,0,500,1102,10502
3,0,1000,1105,10502
8,0,500,1149,10502
8,0,1000,1171,10502
4,0,1000,1220,10502
10,0,500,1253,10502
5,0,1000,1301,10502
2,0,1000,1317,10502
5,0,500,1352,10502
6,0,1000,1354,10502
9,0,1000,1384,10502
9,0,500,1387,10502
3,0,1000,1470,10502
1,0,1000,1502,10502
7,0,1000,1519,10502
10,0,1500,1561,10502
6,0,1500,1587,10502
1,0,500,1647,10502
3,0,500,1686,10502
6,0,500,1689,10502
3,0,500,1731,10502
1,0,1000,1761,10502
3,0,1000,1771,10502
2,0,500,1795,10502
9,0,1000,1822,10502
6,0,1500,1846,10502
6,0,500,1860,10502
7,0,1500,1895,10502
7,0,1500,1911,10502
10,0,500,1922,10502
6,0,1500,1959,10502
3,0,1000,1961,10502
8,0,1500,1984,10502
2,0,1000,2000,10502
3,0,1500,2010,10502
9,0,500,2027,10502
4,0,2000,2127,10502
6,0,500,2140,10502
6,0,1000,2146,10502
9,0,500,2184,10502
5,0,2000,2194,10502
2,0,1000,2201,10502
6,0,2000,2208,10502
2,0,2000,2228,10502
7,0,1000,2262,10502
2,0,500,2274,10502
1,0,500,2287,10502
5,0,500,2380,10502
2,0,2000,2472,10502
1,0,500,2484,10502
6,0,500,2484,10502
4,0,1000,2509,10502
6,0,1500,2540,10502
8,0,2500,2561,10502
6,0,2000,2567,10502
4,0,2000,2571,10502
1,0,500,2587,10502
5,0,2500,2600,10502
3,0,1500,2634,10502
8,0,2000,2641,10502
2,0,2000,2649,10502
2,0,2500,2686,10502
9,0,2500,2687,10502
10,0,0,2731,10502
5,0,1000,2789,10502
10,0,2000,2809,10502
10,0,2000,2816,10502
2,0,1500,2825,10502
9,0,1500,2831,10502
8,0,2000,2897,10502
10,0,2500,2902,10502
2,0,500,2919,10502
7,0,2000,2937,10502
8,0,2500,2955,10502
5,0,1000,2957,10502
7,0,500,2973,10502
9,0,3000,3013,10502
10,0,2000,3089,10502
7,0,1000,3098,10502
1,0,2500,3103,10502
3,0,500,3168,10502
6,0,3000,3173,10502
3,0,3000,3180,10502
10,0,2000,3211,10502
8,0,1500,3216,10502
9,0,1000,3218,10502
6,0,1500,3218,10502
8,0,1500,3224,10502
1,0,2000,3228,10502
4,0,2500,3282,10502
9,0,2500,3283,10502
6,0,1000,3285,10502
8,0,2500,3293,10502
4,0,2500,3304,10502
1,0,500,3313,10502
10,0,1000,3322,10502
1,0,3000,3323,10502
7,0,500,3335,10502
6,0,500,3339,10502
5,0,1000,3340,10502
9,0,3000,3354,10502
9,0,2000,3389,10502
4,0,1000,3393,10502
9,0,3000,3426,10502
6,0,500,3427,10502
9,0,2000,3440,10502
4,0,3000,3454,10502
10,0,1500,3467,10502
10,0,500,3483,10502
5,0,500,3491,10502
7,0,2500,3527,10502
10,0,3500,3545,10502
1,0,2000,3591,10502
6,0,2000,3595,10502
6,0,1500,3606,10502
1,0,3500,3611,10502
8,0,2500,3632,10502
3,0,2500,3636,10502
9,0,3500,3693,10502
5,0,2000,3707,10502
3,0,3500,3779,10502
2,0,500,3780,10502
3,0,3500,3792,10502
6,0,500,3795,10502
9,0,2000,3797,10502
9,0,2500,3802,10502
3,0,1500,3805,10502
5,0,3000,3814,10502
6,0,1500,3843,10502
8,0,1500,3844,10502
10,0,2500,3886,10502
2,0,1000,3896,10502
7,0,2500,3898,10502
6,0,3000,3911,10502
3,0,3000,3914,10502
2,0,2500,3925,10502
7,0,3500,3948,10502
8,0,500,3959,10502
6,0,1000,3959,10502
2,0,2500,3984,10502
3,0,3000,4000,10502
1,0,2500,4009,10502
4,0,1500,4020,10502
6,0,4000,4029,10502
10,0,1500,4037,10502
8,0,3000,4040,10502
10,0,1000,4055,10502
3,0,2000,4063,10502
2,0,1500,4071,10502
4,0,2000,4087,10502
7,0,2000,4089,10502
7,0,1000,4114,10502
3,0,3000,4123,10502
5,0,4000,4138,10502
9,0,3500,4155,10502
7,0,500,4166,10502
2,0,2500,4192,10502
7,0,3000,4197,10502
3,0,500,4202,10502
9,0,500,4231,10502
3,0,2000,4232,10502
3,0,4000,4237,10502
2,0,1000,4240,10502
6,0,3500,4266,10502
4,0,1500,4281,10502
6,0,1500,4281,10502
8,0,2000,4289,10502
5,0,2500,4299,10502
3,0,4000,4301,10502
7,0,2500,4305,10502
10,0,4000,4319,10502
4,0,2000,4325,10502
2,0,1500,4333,10502
6,0,1000,4357,10502
5,0,3000,4367,10502
10,0,2500,4377,10502
10,0,2500,4386,10502
9,0,4000,4419,10502
6,0,500,4429,10502
1,0,3000,4443,10502
10,0,1000,4475,10502
7,0,1500,4481,10502
3,0,500,4487,10502
5,0,2500,4489,10502
9,0,3500,4493,10502
6,0,1000,4497,10502
5,0,4000,4498,10502
10,0,2000,4515,10502
9,0,2500,4545,10502
1,0,4500,4553,10502
8,0,2000,4566,10502
3,0,500,4588,10502
2,0,3000,4599,10502
2,0,2500,4615,10502
8,0,4000,4623,10502
2,0,1500,4635,10502
3,0,2000,4643,10502
4,0,4500,4648,10502
3,0,3500,4655,10502
9,0,2000,4660,10502
4,0,3000,4666,10502
3,0,4500,4700,10502
8,0,4000,4716,10502
10,0,3000,4744,10502
2,0,3500,4754,10502
4,0,3500,4767,10502
3,0,2000,4778,10502
4,0,1000,4794,10502
8,0,4500,4806,10502
2,0,500,4813,10502
3,0,500,4835,10502
5,0,500,4854,10502
5,0,3000,4879,10502
9,0,1500,4898,10502
8,0,1000,4913,10502
9,0,2500,4919,10502
8,0,4000,4940,10502
5,0,3500,4962,10502
9,0,2000,4973,10502
10,0,2500,4978,10502
3,0,2500,5016,10502
7,0,4500,5030,10502
8,0,3500,5040,10502
6,0,5000,5056,10502
9,0,1000,5069,10502
1,0,4000,5081,10502
10,0,5000,5128,10502
6,0,5000,5141,10502
5,0,3000,5164,10502
2,0,1000,5180,10502
3,0,1500,5193,10502
1,0,1000,5195,10502
4,0,2000,5201,10502
4,0,4500,5208,10502
7,0,2000,5215,10502
8,0,4000,5226,10502
7,0,3500,5231,10502
1,0,1500,5235,10502
8,0,5000,5244,10502
5,0,4500,5248,10502
5,0,1000,5260,10502
6,0,3500,5260,10502
9,0,2000,5303,10502
2,0,4000,5303,10502
5,0,1000,5316,10502
8,0,1500,5322,10502
4,0,500,5345,10502
3,0,500,5354,10502
2,0,2500,5376,10502
5,0,3500,5385,10502
3,0,2000,5396,10502
5,0,2000,5403,10502
9,0,5000,5408,10502
6,0,1000,5409,10502
2,0,3500,5411,10502
9,0,2000,5425,10502
8,0,2000,5428,10502
5,0,3000,5436,10502
5,0,4500,5440,10502
2,0,3500,5441,10502
1,0,4500,5444,10502
7,0,2000,5447,10502
10,0,1500,5471,10502
3,0,3500,5475,10502
2,0,3500,5482,10502
4,0,2500,5486,10502
5,0,1500,5493,10502
5,0,3000,5495,10502
3,0,2000,5521,10502
8,0,2500,5538,10502
9,0,1000,5543,10502
9,0,5500,5550,10502
8,0,1000,5555,10502
7,0,2500,5556,10502
2,0,3500,5562,10502
5,0,1500,5569,10502
6,0,5500,5580,10502
8,0,5000,5599,10502
2,0,1000,5614,10502
9,0,4000,5618,10502
2,0,5500,5628,10502
10,0,1500,5633,10502
10,0,4000,5652,10502
9,0,3500,5690,10502
3,0,1500,5693,10502
6,0,4500,5699,10502
5,0,2500,5721,10502
7,0,3500,5736,10502
5,0,2000,5738,10502
7,0,4000,5743,10502
10,0,1500,5746,10502
1,0,1500,5760,10502
6,0,4000,5766,10502
7,0,4500,5767,10502
1,0,4500,5768,10502
5,0,2000,5797,10502
9,0,3000,5803,10502
3,0,4500,5808,10502
5,0,4000,5811,10502
1,0,5500,5813,10502
1,0,1500,5821,10502
7,0,3500,5831,10502
10,0,2500,5843,10502
3,0,5500,5864,10502
2,0,5500,5879,10502
6,0,3000,5881,10502
9,0,1000,5884,10502
7,0,2500,5899,10502
1,0,1000,5900,10502
5,0,1500,5901,10502
1,0,4500,5901,10502
6,0,4000,5924,10502
10,0,3000,5932,10502
4,0,5500,5942,10502
7,0,5500,5944,10502
3,0,4500,5945,10502
2,0,4000,5960,10502
9,0,2000,5967,10502
4,0,3500,5989,10502
9,0,1500,5997,10502
4,0,1500,6012,10502
2,0,4000,6018,10502
6,0,2000,6034,10502
3,0,5000,6046,10502
10,0,5500,6068,10502
8,0,5500,6076,10502
4,0,1500,6081,10502
10,0,1500,6082,10502
5,0,4500,6090,10502
2,0,3000,6092,10502
7,0,4500,6096,10502
1,0,6000,6107,10502
