key,value,eventTime,arrivalTime,processedTime
10,0,0,2731,10116
10,0,4000,4071,10116
9,0,4000,4245,10116
3,0,4000,4309,10116
2,0,4000,4359,10116
2,0,4000,4403,10116
8,0,4000,4602,10116
8,0,4000,4649,10116
10,0,4000,4753,10116
9,0,4000,4887,10116
3,0,4000,5186,10116
6,0,4000,5189,10116
3,0,4000,5231,10116
2,0,4000,5295,10116
6,0,4000,5360,10116
10,0,4000,5422,10116
9,0,4000,5527,10116
2,0,4000,5774,10116
1,0,4000,5787,10116
5,0,4000,5880,10116
1,0,4000,5984,10116
1,0,4000,6087,10116
2,0,4000,6419,10116
7,0,4000,6473,10116
3,0,4000,6668,10116
1,0,4000,6813,10116
7,0,4000,6835,10116
6,0,4000,6839,10116
10,0,4000,6983,10116
5,0,4000,6991,10116
8,0,4000,7459,10116
7,0,4000,7666,10116
3,0,4000,7702,10116
9,0,4000,7731,10116
6,0,4000,7929,10116
3,0,4000,7987,10116
10,0,8000,8034,10116
1,0,8000,8078,10116
4,0,8000,8084,10116
3,0,4000,8088,10116
3,0,8000,8105,10116
4,0,8000,8220,10116
2,0,4000,8313,10116
3,0,4000,8335,10116
5,0,4000,8354,10116
3,0,8000,8470,10116
1,0,8000,8502,10116
1,0,8000,8761,10116
3,0,8000,8771,10116
4,0,4000,8845,10116
5,0,8000,8852,10116
2,0,8000,9000,10116
1,0,8000,9147,10116
2,0,8000,9201,10116
4,0,8000,9509,10116
6,0,8000,9640,10116
9,0,8000,9684,10116
5,0,8000,9789,10116
5,0,8000,9957,10116
6,0,8000,9984,10116
