key,value,eventTime,arrivalTime,processedTime
9,0,500,503,10122
1,0,500,822,10122
6,0,500,832,10122
1,0,500,846,10122
7,0,500,889,10122
1,0,1000,1016,10122
5,0,1000,1030,10122
7,0,500,1129,10122
3,0,500,1131,10122
8,0,500,1267,10122
1,0,500,1268,10122
1,0,500,1333,10122
2,0,1000,1373,10122
6,0,1000,1550,10122
2,0,1000,1575,10122
2,0,1500,1577,10122
4,0,500,1597,10122
2,0,1000,1650,10122
5,0,1000,1672,10122
3,0,500,1730,10122
5,0,500,1761,10122
5,0,1000,1804,10122
4,0,1000,1870,10122
2,0,1000,1928,10122
4,0,1000,1944,10122
4,0,500,1951,10122
3,0,1500,1953,10122
5,0,500,1962,10122
2,0,2000,2050,10122
10,0,500,2057,10122
5,0,1000,2066,10122
2,0,1500,2073,10122
4,0,1500,2112,10122
1,0,500,2122,10122
2,0,1500,2174,10122
3,0,500,2192,10122
2,0,500,2230,10122
10,0,500,2242,10122
7,0,2000,2256,10122
2,0,2000,2283,10122
8,0,1000,2305,10122
6,0,500,2390,10122
6,0,2000,2400,10122
5,0,500,2445,10122
8,0,2000,2459,10122
6,0,2000,2465,10122
10,0,500,2474,10122
1,0,1000,2475,10122
1,0,2500,2532,10122
10,0,2000,2560,10122
8,0,2500,2593,10122
1,0,1500,2597,10122
9,0,1000,2622,10122
3,0,1500,2632,10122
5,0,500,2699,10122
6,0,2500,2723,10122
10,0,500,2725,10122
5,0,1500,2733,10122
3,0,2000,2762,10122
1,0,500,2824,10122
4,0,1000,2850,10122
9,0,1000,2886,10122
7,0,2000,2886,10122
4,0,1000,2899,10122
1,0,0,2905,10122
7,0,2000,2954,10122
5,0,2500,2967,10122
2,0,500,2982,10122
8,0,1000,2987,10122
6,0,2500,2992,10122
1,0,1000,3024,10122
7,0,1000,3038,10122
7,0,1500,3047,10122
5,0,2000,3047,10122
1,0,500,3057,10122
7,0,1000,3059,10122
3,0,3000,3086,10122
3,0,2000,3105,10122
10,0,1500,3108,10122
3,0,1500,3113,10122
5,0,500,3125,10122
7,0,1500,3126,10122
2,0,1000,3135,10122
4,0,1000,3142,10122
2,0,1000,3143,10122
1,0,500,3151,10122
10,0,2000,3155,10122
1,0,3000,3170,10122
9,0,2000,3208,10122
2,0,2500,3210,10122
1,0,1500,3212,10122
6,0,1500,3251,10122
8,0,1000,3285,10122
7,0,2500,3306,10122
7,0,1000,3309,10122
3,0,1500,3313,10122
6,0,2000,3342,10122
9,0,1500,3353,10122
4,0,1000,3363,10122
6,0,500,3366,10122
4,0,1500,3375,10122
2,0,3000,3383,10122
7,0,500,3384,10122
7,0,3000,3386,10122
1,0,3000,3387,10122
8,0,1000,3408,10122
1,0,1500,3414,10122
1,0,3000,3414,10122
2,0,3000,3417,10122
5,0,3000,3439,10122
10,0,2500,3454,10122
1,0,500,3507,10122
4,0,3000,3513,10122
8,0,1500,3548,10122
5,0,500,3562,10122
9,0,2500,3565,10122
10,0,2000,3578,10122
7,0,3000,3578,10122
6,0,1000,3590,10122
9,0,2000,3593,10122
5,0,1500,3601,10122
7,0,2000,3626,10122
6,0,1500,3645,10122
7,0,3000,3651,10122
8,0,3500,3668,10122
1,0,3500,3672,10122
7,0,2000,3675,10122
7,0,3500,3692,10122
7,0,500,3696,10122
4,0,2500,3697,10122
8,0,2500,3708,10122
9,0,2000,3709,10122
1,0,1000,3737,10122
9,0,2000,3750,10122
3,0,3500,3759,10122
6,0,1000,3762,10122
5,0,2000,3764,10122
3,0,1000,3769,10122
5,0,2000,3778,10122
10,0,1000,3795,10122
2,0,500,3819,10122
3,0,2000,3859,10122
5,0,2000,3860,10122
7,0,2000,3862,10122
1,0,1000,3864,10122
3,0,3500,3897,10122
3,0,3000,3909,10122
7,0,2500,3910,10122
4,0,1500,3913,10122
1,0,1500,3925,10122
