key,value,eventTime,arrivalTime,processedTime
10,0,0,2731,12913
10,0,4000,4071,12913
9,0,4000,4245,12913
3,0,4000,4309,12913
2,0,4000,4359,12913
2,0,4000,4403,12913
8,0,4000,4602,12913
8,0,4000,4649,12913
10,0,4000,4753,12913
9,0,4000,4887,12913
3,0,4000,5186,12913
6,0,4000,5189,12913
3,0,4000,5231,12913
2,0,4000,5295,12913
6,0,4000,5360,12913
10,0,4000,5422,12913
9,0,4000,5527,12913
2,0,4000,5774,12913
1,0,4000,5787,12913
5,0,4000,5880,12913
1,0,4000,5984,12913
1,0,4000,6087,12913
2,0,4000,6419,12913
7,0,4000,6473,12913
3,0,4000,6668,12913
1,0,4000,6813,12913
7,0,4000,6835,12913
6,0,4000,6839,12913
10,0,4000,6983,12913
5,0,4000,6991,12913
8,0,4000,7459,12913
7,0,4000,7666,12913
3,0,4000,7702,12913
9,0,4000,7731,12913
6,0,4000,7929,12913
3,0,4000,7987,12913
10,0,8000,8034,12913
1,0,8000,8078,12913
4,0,8000,8084,12913
3,0,4000,8088,12913
3,0,8000,8105,12913
4,0,8000,8220,12913
2,0,4000,8313,12913
3,0,4000,8335,12913
5,0,4000,8354,12913
3,0,8000,8470,12913
1,0,8000,8502,12913
1,0,8000,8761,12913
3,0,8000,8771,12913
4,0,4000,8845,12913
5,0,8000,8852,12913
2,0,8000,9000,12913
1,0,8000,9147,12913
2,0,8000,9201,12913
4,0,8000,9509,12913
6,0,8000,9640,12913
9,0,8000,9684,12913
5,0,8000,9789,12913
5,0,8000,9957,12913
6,0,8000,9984,12913
9,0,8000,10218,12913
6,0,8000,10285,12913
10,0,8000,10322,12913
5,0,8000,10340,12913
4,0,8000,10393,12913
2,0,8000,10896,12913
6,0,8000,10927,12913
6,0,8000,10959,12913
10,0,8000,11055,12913
7,0,8000,11114,12913
2,0,8000,11280,12913
6,0,8000,11295,12913
10,0,8000,11475,12913
8,0,8000,11913,12913
9,0,8000,12069,12913
6,0,12000,12087,0
8,0,12000,12171,0
2,0,8000,12180,12913
5,0,8000,12260,12913
5,0,12000,12301,0
2,0,12000,12317,0
6,0,12000,12346,0
6,0,12000,12354,0
9,0,12000,12384,0
7,0,12000,12411,0
7,0,12000,12519,0
2,0,8000,12614,12913
9,0,12000,12822,0
3,0,8000,12854,12913
9,0,8000,12884,12913
1,0,8000,12900,12913
3,0,12000,12961,0
6,0,12000,13040,0
3,0,12000,13134,0
6,0,12000,13146,0
7,0,12000,13262,0
2,0,12000,13325,0
8,0,12000,13716,0
6,0,12000,13718,0
8,0,12000,13724,0
7,0,12000,14098,0
3,0,12000,14305,0
4,0,12000,14520,0
4,0,12000,14781,0
2,0,12000,15240,0
6,0,12000,15357,0
9,0,12000,15398,0
6,0,12000,15497,0
3,0,12000,15693,0
4,0,12000,15794,0
10,0,16000,16061,0
10,0,12000,16133,0
3,0,12000,16193,0
1,0,12000,16195,0
1,0,12000,16260,0
5,0,12000,16316,0
7,0,16000,16395,0
6,0,12000,16409,0
6,0,16000,16459,0
9,0,12000,16497,0
3,0,16000,16510,0
4,0,12000,16512,0
9,0,12000,16543,0
8,0,12000,16555,0
2,0,12000,16808,0
9,0,16000,17331,0
10,0,16000,17967,0
6,0,16000,18106,0
6,0,16000,18343,0
8,0,16000,18344,0
10,0,16000,18537,0
2,0,16000,18571,0
6,0,16000,18781,0
2,0,16000,18833,0
7,0,16000,18981,0
2,0,16000,19135,0
1,0,16000,19735,0
8,0,16000,19822,0
10,0,16000,19971,0
5,0,16000,19993,0
5,0,16000,20069,0
10,0,16000,20246,0
1,0,16000,20321,0
5,0,16000,20401,0
4,0,16000,20581,0
10,0,16000,20582,0
1,0,16000,20627,0
7,0,16000,20680,0
9,0,16000,20804,0
7,0,16000,20957,0
