key,value,eventTime,arrivalTime,processedTime
10,0,0,2731,12913
10,0,4000,4071,12913
9,0,4000,4245,12913
3,0,4000,4309,12913
2,0,4000,4359,12913
2,0,4000,4403,12913
8,0,4000,4602,12913
8,0,4000,4649,12913
10,0,4000,4753,12913
9,0,4000,4887,12913
3,0,4000,5186,12913
6,0,4000,5189,12913
3,0,4000,5231,12913
2,0,4000,5295,12913
6,0,4000,5360,12913
10,0,4000,5422,12913
9,0,4000,5527,12913
2,0,4000,5774,12913
1,0,4000,5787,12913
5,0,4000,5880,12913
1,0,4000,5984,12913
1,0,4000,6087,12913
2,0,4000,6419,12913
7,0,4000,6473,12913
3,0,4000,6668,12913
1,0,4000,6813,12913
7,0,4000,6835,12913
6,0,4000,6839,12913
10,0,4000,6983,12913
5,0,4000,6991,12913
8,0,4000,7459,12913
7,0,4000,7666,12913
3,0,4000,7702,12913
9,0,4000,7731,12913
6,0,4000,7929,12913
3,0,4000,7987,12913
10,0,8000,8034,12913
1,0,8000,8078,12913
4,0,8000,8084,12913
3,0,4000,8088,12913
3,0,8000,8105,12913
4,0,8000,8220,12913
2,0,4000,8313,12913
3,0,4000,8335,12913
5,0,4000,8354,12913
3,0,8000,8470,12913
1,0,8000,8502,12913
1,0,8000,8761,12913
3,0,8000,8771,12913
4,0,4000,8845,12913
5,0,8000,8852,12913
2,0,8000,9000,12913
1,0,8000,9147,12913
2,0,8000,9201,12913
4,0,8000,9509,12913
6,0,8000,9640,12913
9,0,8000,9684,12913
5,0,8000,9789,12913
5,0,8000,9957,12913
6,0,8000,9984,12913
9,0,8000,10218,12913
6,0,8000,10285,12913
10,0,8000,10322,12913
5,0,8000,10340,12913
4,0,8000,10393,12913
2,0,8000,10896,12913
6,0,8000,10927,12913
6,0,8000,10959,12913
10,0,8000,11055,12913
7,0,8000,11114,12913
2,0,8000,11280,12913
6,0,8000,11295,12913
10,0,8000,11475,12913
8,0,8000,11913,12913
9,0,8000,12069,12913
2,0,8000,12180,12913
5,0,8000,12260,12913
2,0,8000,12614,12913
3,0,8000,12854,12913
9,0,8000,12884,12913
1,0,8000,12900,12913
